# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
EElowR9_7TeVscale             0.0001     0.0006     0.0001    
EEhighR9_7TeVscale            0.0001     0.0010     0.0005    
EBlowR9_7TeVsmear             0.0000     0.0107     0.0001    
EBhighR9_7TeVsmear            0.0000     0.0309     0.0010    
EBlowR9Phi_7TeVsmear          0.0000     0.0068     0.0001    
EBhighR9Phi_7TeVsmear         0.0000     0.0124     0.0003    
EElowR9_7TeVsmear             0.0000     0.0016     0.0002    
EEhighR9_7TeVsmear            0.0000     0.0029     0.0006    
MaterialEBCentral_scale       0.0003     0.0023     0.0007    
MaterialEBOuterEE_scale       0.0005     0.0030     0.0009    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc wh
EBlowR9_7TeVscale             0.0001     0.0028     0.0000    
EBhighR9_7TeVscale            0.0004     0.0162     0.0000    
EElowR9_7TeVscale             0.0000     0.0028     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0001     0.0028     0.0000    
EBhighR9_7TeVsmear            0.0003     0.0467     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0243     0.0000    
EElowR9_7TeVsmear             0.0000     0.0028     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0004     0.0068     0.0000    
MaterialEBOuterEE_scale       0.0004     0.0263     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc zh
EBlowR9_7TeVscale             0.0006     0.0656     0.0120    
EBhighR9_7TeVscale            0.0006     0.0210     0.0120    
EElowR9_7TeVscale             0.0001     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0001     0.0180     0.0000    
EBhighR9_7TeVsmear            0.0004     0.0102     0.0120    
EBlowR9Phi_7TeVsmear          0.0000     0.0408     0.0000    
EBhighR9Phi_7TeVsmear         0.0001     0.0010     0.0000    
EElowR9_7TeVsmear             0.0001     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0008     0.0363     0.0000    
MaterialEBOuterEE_scale       0.0006     0.0180     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 4
proc tth
EBlowR9_7TeVscale             0.0000     0.0000     0.0000    
EBhighR9_7TeVscale            0.0004     0.0719     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_7TeVsmear            0.0002     0.0716     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0555     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0719     0.0000    
MaterialEBOuterEE_scale       0.0001     0.0224     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 5
proc ggh
EBlowR9_7TeVscale             0.0002     0.0023     0.0019    
EBhighR9_7TeVscale            0.0003     0.0095     0.0006    
EElowR9_7TeVscale             0.0001     0.0011     0.0005    
EEhighR9_7TeVscale            0.0002     0.0065     0.0009    
EBlowR9_7TeVsmear             0.0000     0.0087     0.0011    
EBhighR9_7TeVsmear            0.0000     0.0270     0.0014    
EBlowR9Phi_7TeVsmear          0.0000     0.0055     0.0002    
EBhighR9Phi_7TeVsmear         0.0000     0.0077     0.0006    
EElowR9_7TeVsmear             0.0000     0.0040     0.0005    
EEhighR9_7TeVsmear            0.0000     0.0049     0.0000    
MaterialEBCentral_scale       0.0003     0.0030     0.0008    
MaterialEBOuterEE_scale       0.0006     0.0077     0.0017    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc vbf
EBlowR9_7TeVscale             0.0002     0.0015     0.0006    
EBhighR9_7TeVscale            0.0003     0.0008     0.0002    
EElowR9_7TeVscale             0.0001     0.0006     0.0004    
EEhighR9_7TeVscale            0.0003     0.0003     0.0006    
EBlowR9_7TeVsmear             0.0000     0.0079     0.0001    
EBhighR9_7TeVsmear            0.0000     0.0161     0.0009    
EBlowR9Phi_7TeVsmear          0.0000     0.0055     0.0002    
EBhighR9Phi_7TeVsmear         0.0000     0.0050     0.0004    
EElowR9_7TeVsmear             0.0000     0.0035     0.0001    
EEhighR9_7TeVsmear            0.0000     0.0067     0.0010    
MaterialEBCentral_scale       0.0003     0.0020     0.0002    
MaterialEBOuterEE_scale       0.0008     0.0016     0.0006    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc wh
EBlowR9_7TeVscale             0.0002     0.0089     0.0000    
EBhighR9_7TeVscale            0.0003     0.0077     0.0013    
EElowR9_7TeVscale             0.0000     0.0020     0.0015    
EEhighR9_7TeVscale            0.0002     0.0103     0.0001    
EBlowR9_7TeVsmear             0.0001     0.0095     0.0027    
EBhighR9_7TeVsmear            0.0001     0.0493     0.0052    
EBlowR9Phi_7TeVsmear          0.0000     0.0114     0.0012    
EBhighR9Phi_7TeVsmear         0.0000     0.0109     0.0027    
EElowR9_7TeVsmear             0.0000     0.0036     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0079     0.0000    
MaterialEBCentral_scale       0.0003     0.0081     0.0000    
MaterialEBOuterEE_scale       0.0006     0.0034     0.0007    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc zh
EBlowR9_7TeVscale             0.0001     0.0030     0.0041    
EBhighR9_7TeVscale            0.0003     0.0117     0.0019    
EElowR9_7TeVscale             0.0000     0.0048     0.0004    
EEhighR9_7TeVscale            0.0002     0.0142     0.0033    
EBlowR9_7TeVsmear             0.0001     0.0013     0.0022    
EBhighR9_7TeVsmear            0.0001     0.0243     0.0058    
EBlowR9Phi_7TeVsmear          0.0001     0.0026     0.0022    
EBhighR9Phi_7TeVsmear         0.0001     0.0126     0.0019    
EElowR9_7TeVsmear             0.0000     0.0036     0.0004    
EEhighR9_7TeVsmear            0.0001     0.0100     0.0022    
MaterialEBCentral_scale       0.0003     0.0044     0.0022    
MaterialEBOuterEE_scale       0.0004     0.0290     0.0025    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc tth
EBlowR9_7TeVscale             0.0002     0.0022     0.0000    
EBhighR9_7TeVscale            0.0004     0.0110     0.0000    
EElowR9_7TeVscale             0.0001     0.0028     0.0034    
EEhighR9_7TeVscale            0.0001     0.0009     0.0035    
EBlowR9_7TeVsmear             0.0000     0.0081     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0196     0.0035    
EBlowR9Phi_7TeVsmear          0.0000     0.0031     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0339     0.0000    
EElowR9_7TeVsmear             0.0000     0.0043     0.0016    
EEhighR9_7TeVsmear            0.0001     0.0017     0.0016    
MaterialEBCentral_scale       0.0004     0.0079     0.0033    
MaterialEBOuterEE_scale       0.0003     0.0066     0.0052    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 6
proc ggh
EBlowR9_7TeVscale             0.0000     0.0000     0.0000    
EBhighR9_7TeVscale            0.0000     0.0000     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0000     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0000     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0000     0.0000     0.0000    
MaterialEBOuterEE_scale       0.0000     0.0000     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc vbf
EBlowR9_7TeVscale             0.0000     0.0000     0.0000    
EBhighR9_7TeVscale            0.0000     0.0000     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0000     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0000     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0000     0.0000     0.0000    
MaterialEBOuterEE_scale       0.0000     0.0000     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc wh
EBlowR9_7TeVscale             0.0002     0.0029     0.0001    
EBhighR9_7TeVscale            0.0003     0.0088     0.0000    
EElowR9_7TeVscale             0.0001     0.0017     0.0004    
EEhighR9_7TeVscale            0.0003     0.0044     0.0002    
EBlowR9_7TeVsmear             0.0000     0.0076     0.0001    
EBhighR9_7TeVsmear            0.0000     0.0246     0.0002    
EBlowR9Phi_7TeVsmear          0.0000     0.0041     0.0004    
EBhighR9Phi_7TeVsmear         0.0000     0.0117     0.0000    
EElowR9_7TeVsmear             0.0000     0.0060     0.0002    
EEhighR9_7TeVsmear            0.0000     0.0106     0.0002    
MaterialEBCentral_scale       0.0003     0.0045     0.0000    
MaterialEBOuterEE_scale       0.0009     0.0084     0.0005    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc zh
EBlowR9_7TeVscale             0.0002     0.0008     0.0017    
EBhighR9_7TeVscale            0.0003     0.0022     0.0000    
EElowR9_7TeVscale             0.0001     0.0044     0.0008    
EEhighR9_7TeVscale            0.0003     0.0105     0.0010    
