# photonCat                   mean_change    sigma_change    rate_change
diphotonCat 0
proc ggh
MaterialEBCentral_scale       0.0003     0.0023     0.0002    
MaterialEBOuterEE_scale       0.0004     0.0062     0.0004    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc zh
EBlowR9_7TeVscale             0.0005     0.0051     0.0012    
EBhighR9_7TeVscale            0.0002     0.0086     0.0005    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0000     0.0307     0.0017    
EBhighR9_7TeVsmear            0.0000     0.0071     0.0004    
EBlowR9Phi_7TeVsmear          0.0000     0.0093     0.0008    
EBhighR9Phi_7TeVsmear         0.0000     0.0003     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0099     0.0000    
MaterialEBOuterEE_scale       0.0004     0.0169     0.0013    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 5
proc tth
EBlowR9_7TeVscale             0.0004     0.0027     0.0000    
EBhighR9_7TeVscale            0.0002     0.0050     0.0000    
EElowR9_7TeVscale             0.0000     0.0000     0.0000    
EEhighR9_7TeVscale            0.0000     0.0000     0.0000    
EBlowR9_7TeVsmear             0.0001     0.0115     0.0020    
EBhighR9_7TeVsmear            0.0001     0.0202     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0080     0.0020    
EBhighR9Phi_7TeVsmear         0.0000     0.0024     0.0000    
EElowR9_7TeVsmear             0.0000     0.0000     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0000     0.0000    
MaterialEBCentral_scale       0.0003     0.0047     0.0019    
MaterialEBOuterEE_scale       0.0004     0.0092     0.0000    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000


diphotonCat 6
proc ggh
EBlowR9_7TeVscale             0.0000     0.0003     0.0000    
EBhighR9_7TeVscale            0.0002     0.0008     0.0003    
EElowR9_7TeVscale             0.0000     0.0005     0.0001    
EEhighR9_7TeVscale            0.0015     0.0121     0.0007    
EBlowR9_7TeVsmear             0.0000     0.0003     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0095     0.0003    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0009     0.0001    
EElowR9_7TeVsmear             0.0000     0.0008     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0274     0.0006    
MaterialEBCentral_scale       0.0002     0.0021     0.0002    
MaterialEBOuterEE_scale       0.0023     0.0124     0.0011    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc vbf
EBlowR9_7TeVscale             0.0000     0.0006     0.0000    
EBhighR9_7TeVscale            0.0002     0.0013     0.0004    
EElowR9_7TeVscale             0.0000     0.0010     0.0000    
EEhighR9_7TeVscale            0.0015     0.0094     0.0028    
EBlowR9_7TeVsmear             0.0000     0.0000     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0061     0.0000    
EBlowR9Phi_7TeVsmear          0.0000     0.0000     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0002     0.0004    
EElowR9_7TeVsmear             0.0000     0.0026     0.0000    
EEhighR9_7TeVsmear            0.0001     0.0274     0.0021    
MaterialEBCentral_scale       0.0002     0.0024     0.0000    
MaterialEBOuterEE_scale       0.0023     0.0107     0.0007    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc wh
EBlowR9_7TeVscale             0.0000     0.0007     0.0000    
EBhighR9_7TeVscale            0.0002     0.0005     0.0000    
EElowR9_7TeVscale             0.0000     0.0019     0.0000    
EEhighR9_7TeVscale            0.0016     0.0031     0.0031    
EBlowR9_7TeVsmear             0.0000     0.0007     0.0000    
EBhighR9_7TeVsmear            0.0000     0.0049     0.0007    
EBlowR9Phi_7TeVsmear          0.0000     0.0007     0.0000    
EBhighR9Phi_7TeVsmear         0.0000     0.0050     0.0007    
EElowR9_7TeVsmear             0.0000     0.0007     0.0000    
EEhighR9_7TeVsmear            0.0000     0.0342     0.0017    
MaterialEBCentral_scale       0.0001     0.0029     0.0007    
MaterialEBOuterEE_scale       0.0025     0.0039     0.0044    
NonLinearity_7TeVscale        0.0010     0.0000     0.0000

diphotonCat 6
proc zh
EBlowR9_7TeVscale             0.0000     0.0012     0.0000    
EBhighR9_7TeVscale            0.0001     0.0078     0.0008    
EElowR9_7TeVscale             0.0000     0.0014     0.0000    
EEhighR9_7TeVscale            0.0015     0.0117     0.0018    
